# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 50, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 64, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/policy_0.pt", "logdir": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/logs", "tag": "seed0", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05493	0.05493	0.00000	0.00000	0.0570	0.0554	0.01354
1	0.05443	0.05443	0.00000	0.00000	0.0574	0.0523	0.01359
2	0.05424	0.05424	0.00000	0.00000	0.0572	0.0573	0.01365
3	0.05407	0.05407	0.00000	0.00000	0.0573	0.0418	0.01362
4	0.05369	0.05369	0.00000	0.00000	0.0571	0.0527	0.01366
5	0.05350	0.05350	0.00000	0.00000	0.0574	0.0513	0.01391
6	0.05307	0.05307	0.00000	0.00000	0.0574	0.0473	0.01399
7	0.05261	0.05261	0.00000	0.00000	0.0576	0.0268	0.01486
8	0.05123	0.05123	0.00000	0.00000	0.0573	0.0331	0.01891
9	0.04882	0.04882	0.00000	0.00000	0.0569	0.0231	0.01470
10	0.04272	0.04272	0.00000	0.00000	0.0571	0.0175	0.03498
11	0.03450	0.03450	0.00000	0.00000	0.0571	-0.0894	0.22265
12	0.02933	0.02933	0.00000	0.00000	0.0572	-0.0812	0.19473
13	0.02716	0.02716	0.00000	0.00000	0.0572	-0.0465	0.17161
14	0.02649	0.02649	0.00000	0.00000	0.0574	-0.0099	0.09098
15	0.02682	0.02682	0.00000	0.00000	0.0571	-0.0464	0.20667
16	0.02651	0.02651	0.00000	0.00000	0.0573	-0.0872	0.23115
17	0.02550	0.02550	0.00000	0.00000	0.0572	-0.0489	0.18067
18	0.02421	0.02421	0.00000	0.00000	0.0572	-0.1140	0.34983
19	0.02391	0.02391	0.00000	0.00000	0.0573	-0.0414	0.17045
20	0.02387	0.02387	0.00000	0.00000	0.0575	-0.0270	0.14235
21	0.02396	0.02396	0.00000	0.00000	0.0571	-0.0838	0.26474
22	0.02299	0.02299	0.00000	0.00000	0.0579	-0.0347	0.13089
23	0.02360	0.02360	0.00000	0.00000	0.0571	-0.0302	0.15338
24	0.02306	0.02306	0.00000	0.00000	0.0571	-0.0431	0.21630
25	0.02322	0.02322	0.00000	0.00000	0.0573	-0.0510	0.18473
26	0.02322	0.02322	0.00000	0.00000	0.0574	-0.0020	0.10614
27	0.02330	0.02330	0.00000	0.00000	0.0577	-0.0014	0.10745
28	0.02260	0.02260	0.00000	0.00000	0.0569	-0.0308	0.17582
29	0.02242	0.02242	0.00000	0.00000	0.0574	-0.0620	0.22037
30	0.02238	0.02238	0.00000	0.00000	0.0570	-0.0084	0.13590
31	0.02271	0.02271	0.00000	0.00000	0.0573	-0.0137	0.18615
32	0.02256	0.02256	0.00000	0.00000	0.0573	-0.0059	0.15877
33	0.02254	0.02254	0.00000	0.00000	0.0574	-0.0182	0.22248
34	0.02276	0.02276	0.00000	0.00000	0.0572	0.0028	0.11224
35	0.02213	0.02213	0.00000	0.00000	0.0572	-0.0293	0.21233
36	0.02121	0.02121	0.00000	0.00000	0.0573	-0.0290	0.18053
37	0.02108	0.02108	0.00000	0.00000	0.0575	-0.0024	0.12996
38	0.02128	0.02128	0.00000	0.00000	0.0574	-0.0049	0.15342
39	0.02099	0.02099	0.00000	0.00000	0.0573	0.0268	0.08373
40	0.02107	0.02107	0.00000	0.00000	0.0572	0.0050	0.14611
41	0.02132	0.02132	0.00000	0.00000	0.0576	0.0484	0.08637
42	0.02134	0.02134	0.00000	0.00000	0.0573	0.0052	0.09468
43	0.02103	0.02103	0.00000	0.00000	0.0572	-0.0632	0.28283
44	0.02065	0.02065	0.00000	0.00000	0.0573	-0.0989	0.35879
45	0.02033	0.02033	0.00000	0.00000	0.0572	-0.0027	0.23393
46	0.01971	0.01971	0.00000	0.00000	0.0575	0.0026	0.17531
47	0.01982	0.01982	0.00000	0.00000	0.0573	-0.0233	0.25488
48	0.01989	0.01989	0.00000	0.00000	0.0574	0.0362	0.15135
49	0.01997	0.01997	0.00000	0.00000	0.0569	0.0166	0.24425
